house_id,region,property_type,price,cv,bedrooms,school_rating,outside_space
1000,Central Auckland,Townhouse,974445,919159,1,8,Deck Only
1001,South Auckland,House,507338,509190,1,7,Large Backyard
1002,West Auckland,House,664884,677819,1,10,Large Backyard
1003,North Shore,Apartment,1230473,1236633,4,10,None
1004,Central Auckland,Townhouse,672606,640352,1,2,Deck Only
1005,Central Auckland,House,1882058,1887797,5,6,Large Backyard
1006,Central Auckland,House,1206589,1204462,3,6,Large Backyard
1007,South Auckland,Townhouse,708702,779052,3,3,Small Courtyard
1008,West Auckland,House,508446,548860,1,2,Large Backyard
1009,West Auckland,House,758824,753266,4,1,Large Backyard
1010,Central Auckland,Townhouse,1800183,1844444,4,6,Deck Only
1011,South Auckland,Townhouse,812562,852844,5,5,Small Courtyard
1012,South Auckland,Townhouse,593126,537949,1,9,Small Courtyard
1013,Central Auckland,House,1283856,1385260,3,1,Large Backyard
1014,Central Auckland,Townhouse,1480275,1586892,4,7,Small Courtyard
1015,Central Auckland,House,909071,901331,1,5,Large Backyard
1016,Central Auckland,House,1472090,1440048,4,5,Large Backyard
1017,North Shore,Townhouse,1202579,1147972,4,2,Small Courtyard
1018,North Shore,Townhouse,1053493,1048578,3,3,Deck Only
1019,Central Auckland,Apartment,1221857,1110515,2,7,Balcony
1020,West Auckland,Townhouse,1060153,1134828,5,6,Small Courtyard
1021,Central Auckland,Townhouse,1599449,1450835,5,2,Small Courtyard
1022,Central Auckland,House,1381074,1333855,3,6,Large Backyard
1023,Central Auckland,House,1326613,1441123,4,2,Small Courtyard
1024,North Shore,House,587675,615320,1,2,Large Backyard
1025,West Auckland,House,914135,874167,4,2,Large Backyard
1026,Central Auckland,Apartment,1128624,1072790,3,3,Balcony
1027,North Shore,House,1318187,1187708,5,2,Large Backyard
1028,North Shore,Apartment,1226334,1274336,4,4,Balcony
1029,Central Auckland,Townhouse,2084747,1896612,5,9,Small Courtyard
1030,West Auckland,Townhouse,585128,588943,1,6,Small Courtyard
1031,Central Auckland,Townhouse,1489167,1626802,5,1,Deck Only
1032,Central Auckland,Townhouse,1896569,1748435,5,8,Small Courtyard
1033,South Auckland,House,546142,589230,2,7,Large Backyard
1034,South Auckland,House,655279,719689,2,10,Large Backyard
1035,South Auckland,Townhouse,556841,508007,2,3,Deck Only
1036,Central Auckland,House,1653539,1780169,5,1,Large Backyard
1037,Central Auckland,House,1293673,1297833,3,5,Large Backyard
1038,West Auckland,Townhouse,883539,955373,5,4,Small Courtyard
