user_id,preferred_region,max_budget,min_bedrooms
1,Central Auckland,1620488,1
2,West Auckland,919065,3
3,West Auckland,919065,1
4,South Auckland,1187220,3
5,Central Auckland,1620488,4
6,North Shore,1396387,3
7,South Auckland,1187220,4
8,South Auckland,1187220,2
9,South Auckland,1187220,2
10,North Shore,1396387,2
11,South Auckland,1187220,3
12,North Shore,1396387,2
13,South Auckland,1187220,1
14,North Shore,1396387,4
15,West Auckland,919065,4
16,West Auckland,919065,1
17,West Auckland,919065,3
18,West Auckland,919065,3
19,West Auckland,919065,4
20,South Auckland,1187220,2
21,South Auckland,1187220,3
22,South Auckland,1187220,3
23,North Shore,1396387,1
24,North Shore,1396387,1
25,North Shore,1396387,2
26,North Shore,1396387,3
27,West Auckland,919065,3
28,West Auckland,919065,1
29,West Auckland,919065,3
30,Central Auckland,1620488,4
31,South Auckland,1187220,1
32,North Shore,1396387,2
33,North Shore,1396387,1
34,West Auckland,919065,3
35,North Shore,1396387,2
36,North Shore,1396387,1
37,South Auckland,1187220,4
38,West Auckland,919065,4
39,South Auckland,1187220,1
40,Central Auckland,1620488,4
41,Central Auckland,1620488,4
42,Central Auckland,1620488,4
43,West Auckland,919065,2
44,North Shore,1396387,4
45,West Auckland,919065,4
46,West Auckland,919065,4
47,North Shore,1396387,2
48,South Auckland,1187220,1
49,Central Auckland,1620488,3
50,South Auckland,1187220,4
