user_id,max_budget,min_bedrooms,preferred_region_Central Auckland,preferred_region_North Shore,preferred_region_South Auckland,preferred_region_West Auckland
1,1.0,0.0,1,0,0,0
2,0.0,0.6666666666666666,0,0,0,1
3,0.0,0.0,0,0,0,1
4,0.38230140728205375,0.6666666666666666,0,0,1,0
5,1.0,1.0,1,0,0,0
6,0.6805052015688108,0.6666666666666666,0,1,0,0
7,0.38230140728205375,1.0,0,0,1,0
8,0.38230140728205375,0.3333333333333333,0,0,1,0
9,0.38230140728205375,0.3333333333333333,0,0,1,0
10,0.6805052015688108,0.3333333333333333,0,1,0,0
11,0.38230140728205375,0.6666666666666666,0,0,1,0
12,0.6805052015688108,0.3333333333333333,0,1,0,0
13,0.38230140728205375,0.0,0,0,1,0
14,0.6805052015688108,1.0,0,1,0,0
15,0.0,1.0,0,0,0,1
16,0.0,0.0,0,0,0,1
17,0.0,0.6666666666666666,0,0,0,1
18,0.0,0.6666666666666666,0,0,0,1
19,0.0,1.0,0,0,0,1
20,0.38230140728205375,0.3333333333333333,0,0,1,0
21,0.38230140728205375,0.6666666666666666,0,0,1,0
22,0.38230140728205375,0.6666666666666666,0,0,1,0
23,0.6805052015688108,0.0,0,1,0,0
24,0.6805052015688108,0.0,0,1,0,0
25,0.6805052015688108,0.3333333333333333,0,1,0,0
26,0.6805052015688108,0.6666666666666666,0,1,0,0
27,0.0,0.6666666666666666,0,0,0,1
28,0.0,0.0,0,0,0,1
29,0.0,0.6666666666666666,0,0,0,1
30,1.0,1.0,1,0,0,0
31,0.38230140728205375,0.0,0,0,1,0
32,0.6805052015688108,0.3333333333333333,0,1,0,0
33,0.6805052015688108,0.0,0,1,0,0
34,0.0,0.6666666666666666,0,0,0,1
35,0.6805052015688108,0.3333333333333333,0,1,0,0
36,0.6805052015688108,0.0,0,1,0,0
37,0.38230140728205375,1.0,0,0,1,0
38,0.0,1.0,0,0,0,1
39,0.38230140728205375,0.0,0,0,1,0
40,1.0,1.0,1,0,0,0
41,1.0,1.0,1,0,0,0
42,1.0,1.0,1,0,0,0
43,0.0,0.3333333333333333,0,0,0,1
44,0.6805052015688108,1.0,0,1,0,0
45,0.0,1.0,0,0,0,1
46,0.0,1.0,0,0,0,1
47,0.6805052015688108,0.3333333333333333,0,1,0,0
48,0.38230140728205375,0.0,0,0,1,0
49,1.0,0.6666666666666666,1,0,0,0
50,0.38230140728205375,1.0,0,0,1,0
